org_id;org_name
1;Kovotojų už Lietuvą sąjunga
2;Nacionalinė centro partija
3;Lietuvos valstiečių ir žaliųjų sąjunga
4;Respublikonų partija
5;Darbo partija
6;A.Brazausko ir A.Paulausko koalicija Už darbą Lietuvai
7;Tėvynės sąjunga - Lietuvos krikščionys demokratai
8;Rolando Pakso koalicija Už tvarką ir teisingumą
9;Tautinė partija Lietuvos kelias
10;Lietuvos socialdemokratų sąjunga
11;Liberalų ir centro sąjunga
12;Lietuvos lenkų rinkimų akcija
13;Lietuvių tautininkų sąjunga
14;Krikščionių konservatorių socialinė sąjunga
15;Lietuvos krikščionys demokratai
