minor_gid;major_id;minor_id;minor_name;registered_voters;votes
0;1;2;Gedimino;3026;1910
1;1;3;Saltoniškių;2895;1609
2;1;4;Sėlių;1317;697
3;1;5;Liubarto;1498;909
4;1;6;Vytauto;1436;736
5;1;7;Birutės;1840;1092
6;1;8;Pamėnkalnio;969;515
7;1;10;Taurakalnio;1487;909
8;1;12;S. Konarskio;3458;1879
9;1;13;Mindaugo;2326;1106
10;1;15;Vytenio;2249;1054
11;1;16;Naugarduko;3014;1117
12;1;17;Algirdo;3501;1389
13;1;457;Naujininkų;1867;816
14;1;458;Brolių;2328;855
15;1;459;Gimnazijos;1903;730
16;2;51;Dailės;1044;573
17;2;52;Užupio;2429;1270
18;2;53;A. Krutulio;2818;1516
19;2;54;A. Juozapavičiaus;3226;1505
20;2;55;Didlaukio;3892;1982
21;2;56;Licėjaus;3420;1319
22;2;57;Senvagės;4099;1947
23;2;59;V. Sirokomlės;3584;1552
24;2;60;S. Nėries;1807;939
25;2;62;Naugarduko;2646;1377
26;2;65;A.Vienuolio;1855;989
27;2;66;M. Daukšos;3553;1632
28;2;67;V. Šopeno;2414;1023
29;2;203;Baltupių;3376;1802
30;3;101;Filaretų;2625;1395
31;3;102;Olandų;886;518
32;3;104;L. Sapiegos;4185;2394
33;3;105;Šilo;3164;1899
34;3;107;Antakalnio;3498;1914
35;3;109;Švyturio;3659;1805
36;3;111;B. Sruogos;3996;2475
37;3;112;Saulėtekio;3311;1803
38;3;115;Markučių;2876;1096
39;3;116;Liepkalnio;3250;1184
40;3;118;Pelesos;3469;1135
41;3;119;Karačiūnų;1355;600
42;3;120;Antavilių;865;515
43;3;200;Balsių;3351;1821
44;3;201;Popieriaus;2169;899
45;4;24;Muitininkų;4150;2239
46;4;151;Žirmūnų;2744;1438
47;4;152;Kareivių;2746;1215
48;4;153;Prekybininkų;3026;1439
49;4;154;Miestelio;2517;1121
50;4;155;Moksleivių;2720;1303
51;4;156;Raitininkų;2281;1397
52;4;157;Sporto;2880;1573
53;4;158;Kazliškių;1964;1042
54;4;159;Rinktinės;2380;1306
55;4;160;Tuskulėnų;1744;949
56;4;161;Trimitų;1867;977
57;4;162;Minties;2053;1071
58;4;163;Asiūklių;3205;1721
59;4;164;Apkasų;2074;984
60;4;165;Verkių;1719;793
61;4;166;Kalvarijų;2068;952
62;5;202;Mokyklos;4410;2511
63;5;205;Fabijoniškių;4406;1946
64;5;206;Jovaro;4212;2109
65;5;207;S. Stanevičiaus;4188;2122
66;5;208;Kaimelio;2930;1490
67;5;209;L. Giros;3582;1848
68;5;210;P. Žadeikos;2260;1121
