minor_gid;org_id;votes
0;5;592
0;14;255
0;1;165
0;13;161
0;9;147
0;11;146
0;10;126
0;3;97
0;8;49
0;6;45
0;12;33
0;2;27
0;15;19
0;16;19
0;7;17
0;4;12
1;5;572
1;14;213
1;1;180
1;11;133
1;13;113
1;9;94
1;8;75
1;3;63
1;10;45
1;6;28
1;12;28
1;2;22
1;15;22
1;16;12
1;4;9
1;7;0
2;5;213
2;14;116
2;1;68
2;13;58
2;9;53
2;11;52
2;3;32
2;8;23
2;12;19
2;10;18
2;4;10
2;6;10
2;2;9
2;16;7
2;15;6
2;7;3
3;5;328
3;14;105
3;1;103
3;13;81
3;9;65
3;11;57
3;3;52
3;8;33
3;6;21
3;12;18
3;2;12
3;4;11
3;10;11
3;7;5
3;15;5
3;16;2
4;5;218
4;14;88
4;9;61
4;13;61
4;8;59
4;1;54
4;11;49
4;3;45
4;10;32
4;12;18
4;6;15
4;4;10
4;2;10
4;7;7
4;16;5
4;15;4
5;5;344
5;1;159
5;14;131
5;9;79
5;13;76
5;11;72
5;8;53
5;3;45
5;10;45
5;12;32
5;6;18
5;16;10
5;7;8
5;15;8
5;4;6
5;2;6
6;5;157
6;14;67
6;1;55
6;11;51
6;13;44
6;3;32
6;9;28
6;8;20
6;10;16
6;6;12
6;2;11
6;12;6
6;7;6
6;16;4
6;15;4
6;4;2
7;5;269
7;14;148
7;1;119
7;13;72
7;11;67
7;3;60
7;9;53
7;10;30
7;2;19
7;8;18
7;6;16
7;16;14
7;12;9
7;4;7
7;7;5
7;15;3
8;5;487
8;14;278
8;1;230
8;13;190
8;11;163
8;3;111
8;9;90
8;8;84
8;10;66
8;12;46
8;2;34
8;6;34
8;15;24
8;16;20
8;7;12
8;4;10
9;5;337
9;13;120
9;14;108
9;1;96
9;11;91
9;9;76
9;3;71
9;10;67
9;8;48
9;2;31
9;12;16
9;6;15
9;16;9
9;4;9
9;15;7
9;7;5
10;5;255
10;13;162
10;1;109
10;3;92
10;14;84
10;8;83
10;11;69
10;9;48
10;10;45
10;2;32
10;12;18
10;6;18
10;15;15
10;7;11
10;4;9
10;16;4
11;13;208
11;5;206
11;8;116
11;1;101
11;9;95
11;14;93
11;10;81
11;11;56
11;3;46
11;2;44
11;12;23
11;6;18
11;15;10
11;4;8
11;16;7
11;7;5
12;5;335
12;13;168
12;14;144
12;9;126
12;8;102
12;1;100
12;11;99
12;3;88
12;10;82
12;2;43
12;12;29
12;6;24
12;15;19
12;7;14
12;4;12
12;16;4
13;5;144
13;13;127
13;8;85
13;9;80
13;14;77
13;10;59
13;3;58
13;1;57
13;2;38
13;11;32
13;15;13
13;6;12
13;12;12
13;4;9
13;7;8
13;16;5
14;13;163
14;5;135
14;8;110
14;14;87
14;3;82
14;9;51
14;10;48
14;2;43
14;11;40
14;1;39
14;12;20
14;6;15
14;15;11
14;7;11
14;16;0
14;4;0
15;13;152
15;8;105
15;5;97
15;14;73
15;10;66
15;3;46
15;1;42
15;9;42
15;2;33
15;11;27
15;6;16
15;12;14
15;7;8
15;15;7
15;4;2
15;16;0
16;5;218
16;14;89
16;11;51
16;13;46
16;1;38
16;8;34
16;9;30
16;10;15
16;12;14
16;4;9
16;3;7
16;15;6
16;2;6
16;6;4
16;16;4
16;7;2
17;5;409
17;14;252
17;11;106
17;13;85
17;1;78
17;8;76
17;9;76
17;3;41
17;10;39
17;6;25
17;12;23
17;2;20
17;15;17
17;7;10
17;16;9
17;4;4
18;5;434
18;14;253
18;11;167
18;1;129
18;13;120
18;9;109
18;8;106
18;12;37
18;10;37
18;6;30
18;3;29
18;15;25
18;4;16
18;2;12
18;16;7
18;7;5
19;5;442
19;14;240
19;13;128
19;9;119
19;1;116
19;8;109
19;11;93
19;10;66
19;3;59
19;2;32
19;6;28
19;15;23
19;12;19
19;16;13
19;7;10
19;4;8
20;5;413
20;14;247
20;8;238
20;13;231
20;9;188
20;1;178
20;11;143
20;10;96
20;3;82
20;6;51
20;12;35
20;2;30
20;15;21
20;16;15
20;7;10
20;4;4
21;5;282
21;13;171
21;14;146
21;8;139
21;9;137
21;11;92
21;1;83
21;10;71
21;3;61
21;6;31
21;12;27
21;2;27
21;15;19
21;16;12
21;7;11
21;4;10
22;5;503
22;14;246
22;13;239
22;1;198
22;8;156
22;9;138
22;11;98
22;10;93
22;3;92
22;2;65
22;12;30
22;6;28
22;15;17
22;16;16
22;4;16
22;7;12
23;5;360
23;14;274
23;13;172
23;11;133
23;9;117
23;1;103
23;8;99
23;10;84
23;6;44
23;3;42
23;12;36
23;2;33
23;15;18
23;4;15
23;16;14
23;7;8
24;5;375
24;14;155
24;11;69
24;13;69
24;1;64
24;9;48
24;3;32
24;8;26
24;10;25
24;12;20
24;6;17
24;2;16
24;15;11
24;4;8
24;16;3
24;7;1
25;5;439
25;14;227
25;11;131
25;13;122
25;1;99
25;9;90
25;8;68
25;3;48
25;12;30
25;10;28
25;2;23
25;6;20
25;15;19
25;7;13
25;16;13
25;4;7
26;5;366
26;14;156
26;1;111
26;13;77
26;11;73
26;8;40
26;9;37
26;3;36
26;10;25
26;12;22
26;6;13
26;2;10
26;15;8
26;4;6
26;16;5
26;7;4
27;5;410
27;14;239
27;13;181
27;1;151
27;11;145
27;8;122
27;10;109
