minor_gid;major_id;minor_id;minor_name;registered_voters;votes
0;1;1;Apylinkė Nr. 1;2201;1560
1;1;2;Apylinkė Nr. 2;1320;1057
2;1;46;Apylinkė Nr. 46;2447;1755
3;1;47;Apylinkė Nr. 47;2711;1675
4;1;48;Apylinkė Nr. 48;1845;1446
5;1;49;Apylinkė Nr. 49;1720;1216
6;1;50;Apylinkė Nr. 50;1682;1400
7;1;96;Apylinkė Nr. 96;1395;966
8;1;97;Apylinkė Nr. 97;968;701
9;1;98;Apylinkė Nr. 98;885;661
10;1;100;Apylinkė Nr. 100;2085;1566
11;1;102;Apylinkė Nr. 102;1608;1142
12;1;103;Apylinkė Nr. 103;1915;1507
13;1;108;Apylinkė Nr. 108;1876;1428
14;1;109;Apylinkė Nr. 109;1080;822
15;1;110;Apylinkė Nr. 110;2704;2060
16;1;112;Apylinkė Nr. 112;1473;999
17;1;113;Apylinkė Nr. 113;1830;1292
18;1;171;Apylinkė Nr. 171;2345;1469
19;1;173;Apylinkė Nr. 173;1531;967
20;2;3;Apylinkė Nr. 3;1575;1206
21;2;4;Apylinkė Nr. 4;2425;1681
22;2;5;Apylinkė Nr. 5;1350;799
23;2;26;Apylinkė Nr. 26;3157;2080
24;2;42;Apylinkė Nr. 42;2907;1879
25;2;43;Apylinkė Nr. 43;3364;2357
26;2;44;Apylinkė Nr. 44;3468;2279
27;2;45;Apylinkė Nr. 45;2280;1493
28;2;94;Apylinkė Nr. 94;2036;1148
29;2;95;Apylinkė Nr. 95;1776;1317
30;2;99;Apylinkė Nr. 99;1479;1041
31;2;155;Apylinkė Nr. 155;1706;1058
32;2;156;Apylinkė Nr. 156;1584;1174
33;2;157;Apylinkė Nr. 157;1253;810
34;2;158;Apylinkė Nr. 158;1374;808
35;2;161;Apylinkė Nr. 161;959;599
36;2;169;Apylinkė Nr. 169;2660;1659
37;3;6;Apylinkė Nr. 6;2159;1504
38;3;7;Apylinkė Nr. 7;989;807
39;3;8;Apylinkė Nr. 8;2272;1708
40;3;9;Apylinkė Nr. 9;1886;1467
41;3;10;Apylinkė Nr. 10;3233;2334
42;3;11;Apylinkė Nr. 11;2156;1509
43;3;12;Apylinkė Nr. 12;2285;1795
44;3;13;Apylinkė Nr. 13;2158;1395
45;3;14;Apylinkė Nr. 14;1718;1182
46;3;15;Apylinkė Nr. 15;1712;1406
47;3;16;Apylinkė Nr. 16;2482;1903
48;3;17;Apylinkė Nr. 17;2273;1169
49;3;18;Apylinkė Nr. 18;2638;1468
50;3;159;Apylinkė Nr. 159;1147;711
51;3;160;Apylinkė Nr. 160;1592;941
52;3;162;Apylinkė Nr. 162;1448;967
53;3;163;Apylinkė Nr. 163;872;411
54;3;187;Apylinkė Nr. 187;471;151
55;3;188;Apylinkė Nr. 188;402;238
56;3;189;Apylinkė Nr. 189;1426;846
57;4;19;Apylinkė Nr. 19;3148;2308
58;4;20;Apylinkė Nr. 20;3138;2088
59;4;21;Apylinkė Nr. 21;3296;2060
60;4;22;Apylinkė Nr. 22;2771;1697
61;4;23;Apylinkė Nr. 23;3225;2317
62;4;24;Apylinkė Nr. 24;2189;1605
63;4;25;Apylinkė Nr. 25;2997;2246
64;4;28;Apylinkė Nr. 28;2351;1642
65;4;29;Apylinkė Nr. 29;2627;1814
66;4;30;Apylinkė Nr. 30;1816;1370
67;4;31;Apylinkė Nr. 31;2034;1455
68;4;32;Apylinkė Nr. 32;2200;1493
69;4;33;Apylinkė Nr. 33;1747;1108
70;4;34;Apylinkė Nr. 34;1878;1295
71;4;35;Apylinkė Nr. 35;1312;860
72;4;36;Apylinkė Nr. 36;2433;1586
73;5;37;Apylinkė Nr. 37;1503;776
74;5;38;Apylinkė Nr. 38;1839;1039
75;5;39;Apylinkė Nr. 39;3498;2132
76;5;40;Apylinkė Nr. 40;2988;2076
77;5;41;Apylinkė Nr. 41;4041;2288
78;5;76;Apylinkė Nr. 76;3199;2124
79;5;77;Apylinkė Nr. 77;1942;1231
80;5;78;Apylinkė Nr. 78;1538;1069
81;5;79;Apylinkė Nr. 79;2301;1499
82;5;80;Apylinkė Nr. 80;2060;1499
83;5;81;Apylinkė Nr. 81;3594;2401
84;5;82;Apylinkė Nr. 82;3888;2678
85;5;152;Apylinkė Nr. 152;3025;1986
86;6;51;Apylinkė Nr. 51;3480;2518
87;6;52;Apylinkė Nr. 52;2822;1962
88;6;55;Apylinkė Nr. 55;2237;1587
89;6;56;Apylinkė Nr. 56;2210;1524
90;6;66;Apylinkė Nr. 66;3899;2585
91;6;67;Apylinkė Nr. 67;3432;2397
92;6;68;Apylinkė Nr. 68;2915;2015
93;6;69;Apylinkė Nr. 69;2783;1949
94;6;70;Apylinkė Nr. 70;3578;2308
95;6;71;Apylinkė Nr. 71;1930;1353
96;6;72;Apylinkė Nr. 72;1534;1158
97;6;73;Apylinkė Nr. 73;2616;1937
98;6;74;Apylinkė Nr. 74;1772;1325
99;6;75;Apylinkė Nr. 75;2690;1889
100;6;252;Viršuliškių;2034;1388
101;7;53;Apylinkė Nr. 53;3405;2243
102;7;57;Apylinkė Nr. 57;3828;2567
103;7;58;Apylinkė Nr. 58;3636;2390
104;7;59;Apylinkė Nr. 59;3644;2602
105;7;60;Apylinkė Nr. 60;3532;2213
106;7;61;Apylinkė Nr. 61;3239;2232
107;7;62;Apylinkė Nr. 62;3328;2295
108;7;63;Apylinkė Nr. 63;3645;2278
109;7;64;Apylinkė Nr. 64;3450;2488
110;7;65;Apylinkė Nr. 65;3386;2457
111;7;202;Apylinkė Nr. 202;2045;1335
112;8;133;Apylinkė Nr. 133;1200;912
113;8;134;Apylinkė Nr. 134;2989;2248
114;8;135;Apylinkė Nr. 135;1493;1240
115;8;136;Apylinkė Nr. 136;1954;1463
116;8;137;Apylinkė Nr. 137;1671;1181
