org_id;org_name
1;Lietuvių tautininkų sąjunga
2;Lietuvos valstiečių partija
3;Lietuvos centro sąjunga
4;Kovotojų už Lietuvą sąjunga
5;Lietuvos krikščionių demokratų partija
6;Tėvynės sąjunga (Lietuvos konservatoriai)
7;Naujoji sąjunga (socialliberalai)
8;Lietuvos liberalų sąjunga
9;A.Brazausko socialdemokratinė koalicija
10;Lietuvos socialdemokratų sąjunga
11;Nuosaikiųjų konservatorių sąjunga
12;Krikščionių demokratų sąjunga
13;Lietuvos lenkų rinkimų akcija
14;Lietuvos liaudies sąjunga Už teisingą Lietuvą
15;Jaunosios Lietuvos, naujųjų tautininkų ir politinių kalinių sąjunga
