major_id,major_name
1,Naujamiesčio
2,Senamiesčio
3,Antakalnio
4,Žirmūnų
5,Fabijoniškių
6,Šeškinės
7,Justiniškių
8,Karoliniškių
9,Lazdynų
10,Naujosios Vilnios
11,Panerių
12,Verkių
13,Centro-Žaliakalnio
14,Šilainių
15,Kalniečių
16,Dainavos
17,Petrašiūnų
18,Panemunės
19,Aleksoto-Vilijampolės
20,Baltijos
21,Marių
22,Pajūrio
23,Danės
24,Saulės
25,Aušros
26,Nevėžio
27,Vakarinė
28,Aukštaitijos
29,Marijampolės
30,Alytaus
31,Gargždų
32,Šilutės
33,Pietų Žemaitijos
34,Tauragės
35,Plungės
36,Kretingos-Palangos
37,Kuršo
38,Mažeikių
39,Akmenės-Mažeikių
40,Telšių
41,Kelmės-Šiaulių
42,Raseinių-Kėdainių
43,Kėdainių
44,Radviliškio
45,Kuršėnų-Dainų
46,Žiemgalos
47,Pasvalio-Pakruojo
48,Biržų-Kupiškio
49,Anykščių-Panevėžio
50,Sėlos
51,Utenos
52,Visagino-Zarasų
53,Nalšios
54,Molėtų-Širvintų
55,Nemenčinės
56,Šalčininkų-Vilniaus
57,Medininkų
58,Trakų-Vievio
59,Kaišiadorių-Elektrėnų
60,Jonavos
61,Ukmergės
62,Jurbarko-Pagėgių
63,Sūduvos
64,Zanavykų
65,Raudondvario
66,Garliavos
67,Prienų-Birštono
68,Vilkaviškio
69,Dzūkijos
70,Varėnos-Trakų
71,Lazdijų-Druskininkų
