org_id,org_name
1,Lietuvos socialdemokratų partija
2,Tėvynės sąjunga - Lietuvos krikščionys demokratai
3,Lietuvos laisvės sąjunga (liberalai)
4,S. Buškevičiaus ir Tautininkų koalicija „Prieš korupciją ir skurdą“ (Partija „Jaunoji Lietuva“, Tautininkų sąjunga)
5,Partija Tvarka ir teisingumas
6,Lietuvos valstiečių ir žaliųjų sąjunga
7,Lietuvos Respublikos liberalų sąjūdis
8,Darbo partija
9,„Drąsos kelias“ politinė partija
10,Lietuvos liaudies partija
11,Lietuvos lenkų rinkimų akcija-Krikščioniškų šeimų sąjunga
12,Lietuvos žaliųjų partija
13,Politinė partija „Lietuvos sąrašas“
14,Antikorupcinė N. Puteikio ir K. Krivicko koalicija (Lietuvos centro partija, Lietuvos pensininkų partija)
