minor_gid,major_id,minor_id,minor_name,registered_voters,votes
658252,69,17,Gulbynės,3528,1102
658254,33,1,Geležių,512,205
658256,33,9,Krekenavos,1806,685
658258,54,23,Viesų,178,88
658260,69,13,Šaltinių,1997,854
658262,2,452,Lietuvių namų,2054,743
658264,16,77,Buitininkų,3993,1691
658270,10,468,Karklėnų,2999,1086
658272,35,4,Laisvės,2543,1157
658274,33,44,Skaistgirių,371,133
658276,42,40,Lenkelių,151,65
658278,54,3,Balninkų,317,162
658280,6,256,Musninkų,3324,1532
658282,59,7,Beižionių,255,157
658284,3,120,Antavilių,2888,1651
658286,61,15,Siesikų,1100,419
658288,61,37,Želvos,865,393
658290,33,42,Molainių,1083,621
658292,62,2,Smalininkų,1029,446
658294,54,17,Družų,438,155
658296,70,6,Kapčiamiesčio,1051,457
658298,70,11,Kuklių,448,191
658300,70,23,Šeštokų,871,353
658302,14,8,Baltų,3799,1817
658304,4,153,Prekybininkų,2864,1370
658306,37,41,M. Tiškevičiūtės,1702,728
658308,13,307,Žemynos,4028,1988
658310,31,31,Dituvos,3161,947
658312,33,5,Piniavos,1734,803
658314,14,9,Baltijos,3548,1754
658316,36,33,Gindulių,1926,906
658318,31,4,Gargždų,2077,1024
658320,48,19,Skverbų,403,167
658322,23,25,Šilojų,3532,1824
658324,58,10,Ismonių,237,107
658326,64,26,Sintautų,504,260
658328,46,9,Gaižaičių,361,136
658330,13,204,Gabijos,4158,2143
658332,16,84,Nepriklausomybės,2005,914
658334,4,158,Kazliškių,2083,1053
658338,40,29,Žarėnų,774,266
658340,69,37,Dzūkų,2025,875
658342,48,24,Žaidelių,322,136
658344,59,20,Stabintiškių,549,220
658346,30,4,A. Matučio,2425,944
658348,30,9,Statybininkų,1453,588
658350,11,464,Užusienio,1136,482
658352,7,303,Justiniškių,3934,1821
658354,68,25,Sūdavos,1033,337
658356,64,37,Briedžių,444,209
658358,6,260,Žygimanto Augusto,2581,1266
658360,64,3,Mindaugo,1325,583
658366,23,18,Šatrijos,1134,476
658368,50,35,Suvainiškio,190,79
658370,54,16,Alekniškio,205,113
658372,31,8,Daukšaičių,324,118
658378,65,55,Drąseikių,1126,447
658380,65,56,Įgulos,1552,861
658382,66,57,Sąnašos,2029,1075
658384,16,58,Pelenių,1283,441
658386,16,60,Pabiržio,1450,633
658388,65,63,Vijūkų,2543,1303
658390,39,9,Ylakių,1017,405
658392,30,19,Jotvingių,2292,851
658396,40,32,Vembūtų,379,152
658398,35,24,Nausodžio,1562,665
658400,5,213,S. Nėries,4017,1794
658402,16,59,Ąžuolų,1441,717
658404,66,61,Tabariškių,1970,1013
658406,65,62,Dvaro,1441,836
658410,10,472,Džiaugsmo,3258,1855
658412,67,16,Balbieriškio miestelio,1050,415
658414,30,22,Jaunimo,2182,927
658416,30,21,Volungės,3213,1423
658418,30,8,Naujoji,1635,623
658420,41,14,Kražių,733,333
658422,42,34,Lyduvėnų,244,107
658424,58,6,Balceriškių,1280,436
658426,49,29,Nevėžio,536,223
658428,42,10,Paupio,209,85
658430,69,18,Pilvingių,322,111
658432,71,68,Ambasada Pietų Afrikos Respublikoje,30,17
658434,71,69,Generalinis konsulatas Los Andžele,897,732
658436,32,28,Katyčių,540,203
658438,54,24,Verbiškių,345,154
658440,62,20,Klausučių,784,284
658442,64,1,Žiburio,1461,670
658444,4,155,Moksleivių,2769,1189
658446,35,32,Truikių,725,339
658448,33,21,Sujėtų,268,116
658450,33,23,Uliūnų,567,190
658452,30,7,Dzūkijos,1526,594
658474,69,1,Puodžių,483,193
658476,43,16,Lančiūnavos,531,231
658642,26,15,S. Šalkauskio,2441,1159
658644,26,21,Šimšės,3048,1423
658646,26,25,K. Donelaičio,1513,728
658648,26,30,Gegužių,2485,1070
658650,68,32,Ramoniškių,370,174
658652,68,35,Klampučių,338,123
658654,68,44,Stirniškių,530,220
658656,24,36,Debreceno,2330,849
658658,24,39,Žilvičio,1506,621
658660,47,7,Švobiškio,399,149
658662,33,6,Bernatonių,1283,596
658664,47,14,Pajiešmenių,675,294
658666,47,17,Ustukių,752,329
658668,47,20,Jurgėnų,463,198
658670,33,20,Smilgių,542,256
658672,47,23,Pušaloto,644,266
658674,47,26,Kiemėnų,273,113
658676,47,30,Žadeikonių,152,80
658678,47,33,Nairių,298,132
658680,59,14,Jagėlonių,294,125
658682,38,2,Senamieščio,2753,1329
658684,39,36,Kapėnų,349,103
658686,50,29,Kairelių,230,106
658688,50,31,Aleksandravėlės,142,64
658690,50,41,Stoties,691,295
658692,43,5,Beinaičių,322,123
658694,12,202,Mokyklos,4257,2628
658696,5,210,P. Žadeikos,2031,1056
658698,3,101,Filaretų,2591,1542
658700,65,4,Babtų,1304,644
658702,65,10,Neries,1807,840
658704,65,33,Užliedžių,1816,872
658706,65,46,Vilkijos,1291,528
658708,52,3,Sedulinos,930,266
658710,52,7,Orbitos,760,179
658712,52,11,Bangos,1003,352
658714,52,15,Ąžuoliuko,1045,231
658716,30,11,Sporto,1952,831
658718,35,2,Dariaus ir Girėno,1476,605
658720,35,7,A. Vaišvilos,2258,899
658722,35,15,Glaudžių,809,343
658724,3,121,Dvarčionių,2798,1529
658726,47,3,Kalno,2297,1168
658728,25,36,Dainų,2184,1028
658730,45,40,Romuvos,3370,1463
658732,57,22,Marijampolio,1213,631
658734,22,13,Strėvos,2809,954
658736,22,43,Rambyno,2696,1076
658738,22,52,Baltijos,1607,557
658740,41,27,Gimnazijos,1721,808
658742,32,32,Kivylių,373,138
658744,35,18,Kontaučių,517,238
658746,35,30,Stanelių,554,203
658748,35,35,Žlibinų,568,264
658750,30,14,Ūdrijos,1202,373
658752,63,14,Kumečių,424,174
658756,69,40,Vaikantonių,360,159
658758,69,49,Ryliškių,291,159
658760,21,48,Vakarų,3586,1430
658762,60,2,Juodmenos,2474,1053
658764,60,18,Čičinų,783,311
658766,71,60,Ambasada Rusijos Federacijoje,144,115
658768,71,12,Ambasada Danijos Karalystėje,2132,1742
658770,71,26,Ambasada Kinijos Liaudies Respublikoje,53,44
658772,71,34,Ambasada Rumunijoje,52,47
658774,71,50,Ambasada Ispanijos Karalystėje,515,404
658776,40,5,Muziejaus,2080,917
658778,40,10,P. Cvirkos,2301,1107
658780,53,23,Prienų,258,128
658782,71,53,Generalinis konsulatas Čikagoje,1804,1229
658784,34,7,Laisvės,2781,1159
658786,34,11,Lauksargių,994,362
658790,34,18,Norkaičių,647,275
658792,34,21,Lomių,372,161
658794,34,23,Juodpetrių,864,244
658796,14,18,Apuolės,1061,533
658798,19,22,Žagarės,2120,1042
658802,19,27,J. Dobkevičiaus,4361,2023
658804,28,7,J. Balčikonio,1981,1037
658806,24,26,Brigantinos,1704,657
658808,24,32,Dainavos,2699,1060
658810,57,15,Pakenės,817,430
658812,55,1,Avižienių,2918,1645
658814,55,14,Geisiškių,622,383
658816,55,53,Bukiškio,2957,1845
658818,68,43,Slabadų,195,89
658820,17,89,Specialistų,2506,1063
658822,17,99,Knygnešių,2499,1172
658824,29,3,Laikštės,1926,948
658826,28,4,Vienybės,2229,912
658828,28,25,Ukmergės,2238,924
658830,28,10,Menų mokyklos,2563,983
658832,7,351,Tujų,2879,1357
658834,8,359,D. Gerbutavičiaus,2122,1002
658836,1,3,Saltoniškių,2973,1879
658838,1,10,Taurakalnio,1701,1098
658840,51,24,Vaikutėnų,454,232
658842,34,24,Skaudvilės,1342,631
658844,62,32,Eičių,281,95
658846,34,34,Dauglaukio,416,186
658848,63,26,Gudelių,492,215
658850,32,12,Jonaičių,432,192
658852,32,36,Liepų,1035,490
658854,37,16,Šauklių,386,160
658856,43,53,Beržų,300,119
658858,45,42,Gytarių,3007,1371
658860,32,27,Inkaklių,547,215
658862,32,30,Bikavėnų,305,118
658864,32,31,Gorainių,269,115
659164,63,20,Ąžuolinių,355,160
659166,67,27,Raižių,239,115
659168,69,50,Nemunaičio,946,411
659170,17,116,Buriuotojų,4137,1642
659172,18,122,Rokų,2813,1343
659174,69,6,Marcinkonių,625,303
659176,69,14,Kibyšių,232,109
659178,69,16,Panaros,208,70
659180,69,26,Valkininkų,681,323
659182,69,30,Perlojos,519,289
659184,69,35,Rudnios,209,103
659186,69,39,Senosios Varėnos,1020,458
659190,37,2,Vilniaus,1802,804
659192,37,15,Mosėdžio,1431,571
659194,39,23,Šačių,473,181
659196,39,16,Plinkšių,566,182
659198,39,23,Dagių,205,68
659200,39,30,Bugenių,959,376
659202,66,52,Bibliotekos,1506,716
659204,33,16,Liberiškio,500,166
659206,33,27,Staniūnų,1941,871
659208,49,35,Liūdynės,549,262
659210,33,37,Pažagienių,677,322
659212,42,3,Centro,1834,649
659214,42,9,Viduklės,1889,589
659216,42,16,Gėluvos,366,191
659220,71,61,Generalinis konsulatas Sankt-Peterburge,92,85
659222,47,19,Mažeikonių,752,319
659224,46,38,Žeimelio,788,311
659226,47,35,Šukionių,302,116
659228,29,5,Uosupio,2100,962
659230,29,9,Šaulių,2183,975
659232,29,13,Armino,912,481
659234,42,4,Pramonės,2349,978
659236,42,7,Sujainių,947,334
659238,42,13,Kryžkalnio,409,129
659240,42,21,Paliepių,336,133
659242,42,24,Požėčių,232,104
659244,42,27,Berteškių,350,149
659246,42,30,Kaulakių,499,177
659248,42,33,Šiluvos,646,284
659250,42,39,Norgėlų,524,238
659252,42,42,Bebirvos,132,61
659254,42,44,Gervinės,147,74
659256,63,24,Igliaukos,960,399
659286,63,36,Varnupių,191,58
659288,63,40,Tautkaičių,617,202
659290,50,40,Panemunio,268,119
659292,18,31,Piliakalnio,2638,1243
659294,35,5,Pelaičių,619,238
659296,35,8,Tverų,996,356
659298,35,21,Milašaičių,304,137
659300,39,12,Kruopių,497,271
659302,15,68,Statybininkų,3655,1683
659304,15,69,Rasos,1822,915
659306,15,72,P. Lukšio,3507,1807
659308,17,38,Varpo,3320,1859
659310,18,105,Sodų,3479,1379
659312,26,28,Tilžės,3386,1269
659314,42,19,Verėduvos,368,147
659316,42,29,Steponkaimio,127,59
659318,42,37,Ramonų,359,161
659320,71,51,Konsulatas Valensijoje,593,438
659322,33,22,Perekšlių,453,178
659324,19,126,Tirkiliškių,2704,1513
659326,43,11,Kaplių,215,110
659328,38,8,Naftininkų,3306,1456
659330,45,19,Šiupylių,312,115
659332,45,23,Smilgių,243,87
659334,45,30,Micaičių,715,302
659336,45,34,Drąsučių,1078,317
659338,45,39,Šakynos,574,161
659340,42,43,Alėjų,178,90
659342,41,2,Balsių,906,393
659344,41,5,Bytlaukio,379,160
659346,32,8,Ramučių,176,57
659348,41,9,Girdiškės,190,86
659350,34,12,Jucaičių,341,143
659352,41,16,Obelyno,615,237
659354,41,19,Požerės,341,141
659356,41,24,Žadeikių,595,234
659358,32,33,Vainuto,713,316
659360,11,408,Vilkpėdės,2228,850
659362,9,413,Bukčių,4262,2488
659364,32,39,Naumiesčio kaimiškoji,857,336
659366,27,15,Žvaigždžių,3635,1753
659368,27,20,Klaipėdos,2119,874
659370,27,23,Kniaudiškių,3814,1764
659372,34,5,Aerodromo,3039,1346
659374,34,28,Batakių,739,272
659376,7,252,Viršuliškių,2555,1195
659378,6,258,Šeškinės,2115,1035
659380,58,12,Vievio,3733,1669
659382,46,34,Jurdaičių,368,92
659384,58,21,Rykantų,1355,544
659386,1,51,Dailės,1799,1107
659388,6,57,Senvagės,3368,1619
659390,71,43,Ambasada Vengrijoje,57,51
659392,71,30,Ambasada Nyderlandų Karalystėje,1633,1298
659394,42,17,Dainavos,212,93
659396,18,30,Julijanavos,2103,983
659398,19,125,Kazliškių,1134,594
659400,15,66,Šiaurės,3337,1681
659402,23,5,Eglės,1539,670
659404,23,8,Šviesos,2583,1279
659406,22,11,Saulutės,4136,1516
659408,23,17,Saulėtekio,2137,991
659410,54,10,Girsteitiškio,223,124
659412,54,21,Suginčių,476,249
659414,47,3,Degesių,277,119
659416,46,5,Draudelių,132,59
659418,47,11,Klovainių,622,309
659420,46,20,Mikniūnų,211,80
659422,46,26,Pašvitinio,466,219
659424,46,34,Sosdvario,96,47
659426,61,3,Maironio,1662,843
659428,61,6,Kęstučio,1779,759
659430,61,9,Kauno,1937,707
659432,61,13,Pivonijos,2163,870
659434,39,20,Kalniškių,182,79
659436,61,19,Balelių,267,145
659438,61,22,Rečionių,899,421
659440,61,33,Krikštėnų,273,151
659442,50,18,Lukštų,242,118
659444,34,12,Kęsčių,280,113
659446,62,1,Pagėgių,1538,695
659448,32,1,Mokyklos,1957,745
659450,39,1,Senamiesčio,1379,645
659452,39,4,Ramučių,1305,565
659454,39,8,Daubiškių,503,195
659456,39,11,Kivylių,409,202
659458,39,17,Luokavos,452,224
659460,1,65,A. Vienuolio,1685,994
659462,52,8,Biržūnų,196,95
659464,52,13,Magučių,418,135
659466,52,21,Užtiltės,960,418
659468,58,40,Salkininkų,389,134
659470,10,116,Liepkalnio,3942,1594
659472,50,4,J. Tūbelio,2399,1162
659474,50,10,Žiobiškio,436,197
659476,50,16,Juodupės kaimiškoji,878,313
659478,50,23,Aukštakalnių,263,124
659480,71,20,Ambasada Japonijoje,563,449
659482,39,37,Palnosų,702,314
659484,44,25,Pašiaušės,169,63
659486,41,27,Pašilės,237,93
659488,41,28,Pavėžupio,195,83
659490,41,29,Petrališkės,354,170
659492,41,30,Stulgių,309,123
659494,41,32,Šaukėnų,858,285
659496,44,33,Šedbarų,308,117
659498,44,34,Durpyno,711,254
659500,44,35,Tytuvėnų,1296,572
659502,41,37,Vaiguvos,417,156
659504,31,11,Veiviržėnų,1138,511
659506,31,12,Girininkų,468,172
659508,31,13,Lapių,551,233
659510,31,14,Tilvikų,196,75
659512,31,15,Vėžaičių,2375,1008
659514,31,16,Priekulės,2260,959
659516,31,17,Agluonėnų,965,416
659518,31,18,Dovilų,2991,1170
659520,31,19,Ketvergių,1784,690
659522,31,20,Šiūparių,655,252
659524,55,37,Pikeliškių,2001,1046
659526,57,25,Galgių,1656,828
659528,57,26,Medininkų,934,529
659530,55,29,Kabiškių,842,377
659532,57,42,Senasalio,362,157
659534,57,43,Savičiūnų,577,333
659536,55,51,Nemenčinės,2177,984
659538,55,52,Neries,1869,876
659540,57,55,Rakonių,854,410
659542,56,8,Baltosios Vokės,1273,449
659544,56,9,Pagirių,3100,1335
659546,56,10,Keturiasdešimties Totorių,1228,394
659548,58,8,Daugirdiškių,296,107
659550,58,9,Kazokiškių,394,165
659552,58,10,Pastrėvio,567,258
659554,59,1,Draugystės,2085,898
659556,59,2,Saulės,4019,1829
659558,59,3,Sodų,1955,906
659560,59,4,Versmės,2108,894
659562,59,13,Gilučių,406,195
659564,59,15,Kietaviškių,857,385
659566,52,1,Antalieptės,510,198
659568,52,17,Smalvų,204,73
659570,52,18,Turmanto,767,259
659572,52,19,Dusetų,857,350
659574,52,20,Sadūnų,207,81
659576,52,22,Zarasų rytų,2546,1047
659578,52,23,Zarasų vakarų,1552,495
659580,52,24,Zarasų šiaurės,1592,754
659586,53,3,Ceikinių,418,189
659588,53,4,Didžiasalio,900,325
659590,53,17,Mielagėnų,649,332
659592,40,6,Šviesos,1759,835
659594,40,7,Kalno,507,233
659596,40,8,Kęstučio,1352,579
659598,40,9,Sedos,1669,673
659600,40,11,Degaičių,780,329
659602,40,30,Ryškėnų,1974,666
659604,40,31,Viešvėnų,782,303
