minor_gid,org_id,votes
713096,1,24
713096,2,31
713096,3,441
713096,4,17
713096,5,19
713096,6,34
713096,8,87
713096,9,24
713096,10,7
713096,11,203
713096,12,230
713096,13,179
713096,14,97
713096,16,31
713096,17,1
713098,1,5
713098,2,88
713098,3,162
713098,4,50
713098,5,9
713098,6,12
713098,8,104
713098,9,17
713098,10,2
713098,11,217
713098,12,160
713098,13,453
713098,14,227
713098,16,104
713098,17,1
713100,1,3
713100,2,2
713100,3,50
713100,4,4
713100,5,4
713100,6,3
713100,8,7
713100,9,8
713100,10,0
713100,11,26
713100,12,35
713100,13,23
713100,14,10
713100,16,5
713100,17,2
713102,1,12
713102,2,21
713102,3,215
713102,4,10
713102,5,10
713102,6,12
713102,8,99
713102,9,26
713102,10,3
713102,11,74
713102,12,125
713102,13,80
713102,14,33
713102,16,24
713102,17,1
713104,1,3
713104,2,0
713104,3,31
713104,4,1
713104,5,1
713104,6,3
713104,8,4
713104,9,0
713104,10,3
713104,11,9
713104,12,17
713104,13,6
713104,14,3
713104,16,2
713104,17,10
713106,1,0
713106,2,4
713106,3,16
713106,4,0
713106,5,6
713106,6,89
713106,8,6
713106,9,2
713106,10,1
713106,11,6
713106,12,7
713106,13,11
713106,14,3
713106,16,2
713106,17,11
713108,1,5
713108,2,15
713108,3,123
713108,4,8
713108,5,10
713108,6,45
713108,8,33
713108,9,19
713108,10,0
713108,11,65
713108,12,84
713108,13,94
713108,14,36
713108,16,20
713108,17,0
713110,1,2
713110,2,1
713110,3,12
713110,4,0
713110,5,1
713110,6,42
713110,8,2
713110,9,3
713110,10,1
713110,11,5
713110,12,7
713110,13,11
713110,14,3
713110,16,0
713110,17,0
713112,1,20
713112,2,39
713112,3,372
713112,4,19
713112,5,10
713112,6,26
713112,8,76
713112,9,31
713112,10,6
713112,11,163
713112,12,163
713112,13,219
713112,14,75
713112,16,38
713112,17,2
713114,1,10
713114,2,32
713114,3,298
713114,4,16
713114,5,22
713114,6,31
713114,8,128
713114,9,35
713114,10,1
713114,11,130
713114,12,184
713114,13,202
713114,14,77
713114,16,42
713114,17,2
713116,1,16
713116,2,33
713116,3,104
713116,4,20
713116,5,56
713116,6,8
713116,8,27
713116,9,34
713116,10,49
713116,11,52
713116,12,95
713116,13,147
713116,14,49
713116,16,52
713116,17,113
713118,1,25
713118,2,73
713118,3,320
713118,4,52
713118,5,38
713118,6,25
713118,8,144
713118,9,44
713118,10,9
713118,11,251
713118,12,305
713118,13,453
713118,14,155
713118,16,90
713118,17,3
713120,1,319
713120,2,335
713120,3,1024
713120,4,434
713120,5,373
713120,6,186
713120,8,662
713120,9,349
713120,10,132
713120,11,452
713120,12,1149
713120,13,2577
713120,14,779
713120,16,1397
713120,17,59
713126,1,9
713126,2,15
713126,3,173
713126,4,19
713126,5,139
713126,6,24
713126,8,47
713126,9,54
713126,10,26
713126,11,82
713126,12,130
713126,13,99
713126,14,45
713126,16,49
713126,17,292
713128,1,21
713128,2,32
713128,3,246
713128,4,12
713128,5,19
713128,6,15
713128,8,70
713128,9,23
713128,10,1
713128,11,141
713128,12,305
713128,13,182
713128,14,149
713128,16,26
713128,17,0
713130,1,2
713130,2,0
713130,3,41
713130,4,1
713130,5,2
713130,6,6
713130,8,17
713130,9,6
713130,10,0
713130,11,11
713130,12,41
713130,13,8
713130,14,8
713130,16,2
713130,17,1
713132,1,4
713132,2,5
713132,3,50
713132,4,5
713132,5,9
713132,6,8
713132,8,5
713132,9,9
713132,10,5
713132,11,23
713132,12,33
713132,13,13
713132,14,12
713132,16,4
713132,17,1
713134,1,14
713134,2,15
713134,3,122
713134,4,8
713134,5,35
713134,6,14
713134,8,33
713134,9,17
713134,10,9
713134,11,63
713134,12,72
713134,13,136
713134,14,63
713134,16,44
713134,17,211
713136,1,1
713136,2,33
713136,3,108
713136,4,8
713136,5,19
713136,6,8
713136,8,32
713136,9,6
713136,10,2
713136,11,55
713136,12,43
713136,13,259
713136,14,129
713136,16,60
713136,17,43
713138,1,5
713138,2,39
713138,3,150
713138,4,19
713138,5,20
713138,6,18
713138,8,32
713138,9,13
713138,10,17
713138,11,94
713138,12,74
713138,13,350
713138,14,173
713138,16,89
713138,17,106
713140,1,7
713140,2,30
713140,3,112
713140,4,5
713140,5,14
713140,6,12
713140,8,23
713140,9,25
713140,10,5
713140,11,39
713140,12,51
713140,13,105
713140,14,40
713140,16,17
713140,17,263
713142,1,5
713142,2,34
713142,3,156
713142,4,13
713142,5,18
713142,6,9
713142,8,47
713142,9,22
713142,10,7
713142,11,90
713142,12,66
713142,13,376
713142,14,170
713142,16,81
713142,17,65
713144,1,10
713144,2,25
713144,3,77
713144,4,8
713144,5,25
713144,6,5
713144,8,12
713144,9,12
713144,10,3
713144,11,31
713144,12,60
713144,13,86
713144,14,35
713144,16,25
713144,17,174
713146,1,5
713146,2,7
713146,3,101
713146,4,3
713146,5,34
713146,6,10
713146,8,11
713146,9,19
713146,10,5
713146,11,20
713146,12,57
713146,13,41
713146,14,15
713146,16,29
713146,17,330
713148,1,5
713148,2,18
713148,3,114
713148,4,12
713148,5,54
713148,6,7
713148,8,20
713148,9,23
713148,10,7
713148,11,67
713148,12,90
713148,13,138
713148,14,62
713148,16,61
713148,17,327
713150,1,9
713150,2,16
713150,3,165
713150,4,10
713150,5,48
713150,6,16
713150,8,19
713150,9,19
713150,10,5
713150,11,22
713150,12,72
713150,13,55
713150,14,28
713150,16,24
713150,17,247
713152,1,8
713152,2,14
713152,3,172
713152,4,11
713152,5,80
713152,6,12
713152,8,21
713152,9,25
713152,10,4
713152,11,52
713152,12,81
713152,13,78
713152,14,29
713152,16,20
713152,17,306
713154,1,9
713154,2,18
713154,3,179
713154,4,9
713154,5,49
713154,6,5
713154,8,29
713154,9,21
713154,10,7
713154,11,64
713154,12,101
713154,13,127
713154,14,47
713154,16,28
713154,17,102
713156,1,2
713156,2,4
713156,3,18
713156,4,15
713156,5,8
713156,6,0
713156,8,19
713156,9,2
713156,10,10
713156,11,13
713156,12,9
713156,13,169
713156,14,32
713156,16,69
713156,17,1
713158,1,0
713158,2,0
713158,3,29
713158,4,1
713158,5,1
713158,6,4
713158,8,10
713158,9,5
713158,10,0
713158,11,2
713158,12,16
713158,13,3
713158,14,3
713158,16,1
713158,17,0
713160,1,1
713160,2,2
713160,3,63
713160,4,5
713160,5,2
713160,6,9
713160,8,5
713160,9,5
713160,10,1
713160,11,14
713160,12,17
713160,13,38
713160,14,12
713160,16,5
713160,17,0
713162,1,3
713162,2,6
713162,3,50
713162,4,2
713162,5,7
713162,6,4
713162,8,21
713162,9,8
713162,10,0
713162,11,16
713162,12,44
713162,13,20
713162,14,5
713162,16,4
713162,17,1
713164,1,1
713164,2,5
713164,3,119
713164,4,6
713164,5,13
713164,6,6
713164,8,59
713164,9,9
713164,10,1
713164,11,37
713164,12,84
713164,13,43
713164,14,7
713164,16,6
713164,17,1
713166,1,18
713166,2,62
713166,3,253
713166,4,18
713166,5,78
713166,6,13
713166,8,67
713166,9,40
713166,10,24
713166,11,131
713166,12,144
713166,13,361
713166,14,102
713166,16,95
713166,17,161
713168,1,15
713168,2,25
713168,3,109
713168,4,9
713168,5,7
713168,6,11
713168,8,34
713168,9,10
713168,10,3
713168,11,85
713168,12,70
713168,13,144
713168,14,88
713168,16,41
713168,17,1
713170,1,5
713170,2,33
713170,3,146
713170,4,29
713170,5,9
713170,6,13
713170,8,47
713170,9,8
713170,10,0
713170,11,101
713170,12,95
713170,13,271
713170,14,117
713170,16,63
713170,17,2
713172,1,4
713172,2,4
713172,3,54
713172,4,5
713172,5,6
713172,6,4
713172,8,14
713172,9,0
